pin,partition,spec_value,spec_clock,spec_edge,source,comment
mltasigntrrstm8n1h,icore,57.0,mclk_meu,r,sibling_ref,ref from par_meu/mltasigntrrstm8n1h spec=57.0
mltadiscvccwrpchmnnnh,icore,79.0,mclk_meu,r,sibling_ref,ref from par_meu/mltadiscvccwrpchmnnnh spec=79.0
mltacrbuscntlm734h_go,icore,57.0,mclk_meu,r,sibling_ref,ref from par_meu/mltacrbuscntlm734h_go spec=57.0
mltacrbuscntlm734h_cr64bit,icore,57.0,mclk_meu,r,sibling_ref,ref from par_meu/mltacrbuscntlm734h_cr64bit spec=57.0
mltacolmuxjitdismnnnh,icore,TBD,,,needs_basel,no timing path; no sibling found
mltacdtstoprecmnn2h,icore,130.0,mclk_fe,r,sibling_ref,ref from par_fe/mltacdtstoprecmnn2h spec=130.0
mlpicmtcmnnnh_threadid[*],icore,54.0,mclk_fe,r,sibling_ref,ref from par_fe/mlpicmtcmnnnh_threadid spec=54.0
mlnotmulpgfusemnn2h,icore,18.0,mclk_meu,r,sibling_ref,ref from par_meu/mlnotmulpgfusemnn2h spec=18.0
mlcr8wrackmnnnh,icore,32.0,mclk_meu,r,sibling_ref,ref from par_meu/mlcr8wrackmnnnh spec=32.0
mlcontendownspeclockdismnn0h,icore,42.0,mclk_meu,r,sibling_ref,ref from par_meu/mlcontendownspeclockdismnn0h spec=42.0
mlcmisspendingmnn1h,icore,21.0,mclk_meu,r,sibling_ref,ref from par_meu/mlcmisspendingmnn1h spec=21.0
mlc02activemnnnh,icore,41.0,mclk_meu,r,sibling_ref,ref from par_meu/mlc02activemnnnh spec=41.0
ml2mecresetmx003h,icore,36.0,mclk_meu,r,sibling_ref,ref from par_meu/ml2mecresetmx003h spec=36.0
ml2dcfbvcntzeromnnnh,icore,21.0,mclk_meu,r,sibling_ref,ref from par_meu/ml2dcfbvcntzeromnnnh spec=21.0
ml2dcclkenmnnnh,icore,46.0,mclk_meu,r,sibling_ref,ref from par_meu/ml2dcclkenmnnnh spec=46.0
loadvoltagesense_a,icore,9999.0,uclk,r,sibling_copy,analog family: vsense_a_in_* has spec=9999 in par_pm
loadgndsense_a,icore,9999.0,uclk,r,sibling_copy,analog family: vsense_a_in_* has spec=9999 in par_pm
idft_mclkenm311h_postmux,icore,26.0,mclk_meu,r,sibling_ref,ref from par_meu/idft_mclkenm311h_postmux spec=26.0
dlvrvoltagesense_a,icore,9999.0,uclk,r,sibling_copy,analog family: vsense_a_in_* has spec=9999 in par_pm
dlvrgndsense_a,icore,9999.0,uclk,r,sibling_copy,analog family: vsense_a_in_* has spec=9999 in par_pm
dcreqbyteenparm402h,icore,62.0,mclk_meu,r,sibling_ref,ref from par_meu/dcreqbyteenparm402h spec=62.0
crysclkpulsemnnnh,icore,53.0,mclk_meu,r,sibling_ref,ref from par_meu/crysclkpulsemnnnh spec=53.0
cdtstoptrigtapmnn3h,icore,54.0,mclk_fe,r,sibling_ref,ref from par_fe/cdtstoptrigtapmnn3h spec=54.0
archthrottletriggermnn1h,icore,45.0,mclk_meu,r,sibling_ref,ref from par_meu/archthrottletriggermnn1h spec=45.0
altmulpgturnonmnn2h,icore,36.0,mclk_meu,r,sibling_ref,ref from par_meu/altmulpgturnonmnn2h spec=36.0
altmulendthrottlemnn2h,icore,32.0,mclk_meu,r,sibling_ref,ref from par_meu/altmulendthrottlemnn2h spec=32.0
HWLockStepMnH_in,icore,84.0,mclk_fe,r,sibling_ref,ref from par_fe/HWLockStepMnH_in spec=84.0
