#family,startpoint,drv_par,drv_signal,rcv_par,rcv_signal,endpoint,pba_mode
AGU_loop,mclk_meu,par_meu,Ag*dataM304H_reg,par_meu,Ag*dataM304H_reg,mclk_meu,path
IFMACRO,mclk_*,par_fe,ifmacrinstrbytsm102h,par_msid,ifmacrinstrbytsm102h,mclk_*,none
IFMACRO,mclk_*,par_fe,ifmcachelastinstbytevecm102h,par_msid,ifmcachelastinstbytevecm102h,mclk_*,none
ILDPIPECTL,mclk_*,par_msid,ildpipectlforfem100h,par_fe,ildpipectlforfem100h,mclk_*,none
SRCMASK,mclk_*,par_exe,misrcmaskm304h,par_fmav1,misrcmaskm304h,mclk_*,none
SRCMASK,mclk_*,par_exe,misrcmaskm304h,par_fmav0,misrcmaskm304h,mclk_*,none
rob-mob,mclk_*,par_meu,earlymosnoophitm901h,par_ooo_vec,moearlysnoophitorm901h,mclk_*,none
QSF,mclk_ooo_vec,par_ooo_vec,rsvecsbidm301h,par_meu,rsvecsbidm301h,mclk_meu,none
QSF,mclk_ooo_int,par_ooo_int,rsvecearlyuopvm302h,par_meu,rsvecearlyuopvm302h,mclk_meu,none
QSF,mclk_ooo_vec,par_ooo_vec,rsvecearlyuopvoutm301h,par_ooo_int,rsvecearlyuopvoutm301h,mclk_ooo_int,none
302-MIU,mclk_meu,par_meu,RSIntPSrc*M302H_reg,par_meu,miSrcImmDataM303H_reg,mclk_meu,path
Ld_cancel,mclk_*,par_exe,specisvalid512forldbundlecancelm801h,par_meu,specisvalid512forldbundlecancelm801h,mclk_meu,none
Ld_cancel,mclk_*,par_exe,specpdstvforldbundlecancelm801h,par_meu,specpdstvforldbundlecancelm801h,mclk_meu,none
Ld_cancel,mclk_*,par_exe,specpdstforldbundlecancelm801h,par_meu,specpdstforldbundlecancelm801h,mclk_meu,none
one_cycle_loop,mclk_exe,par_exe,dataM305H_reg,par_exe,dataM305H_reg,mclk_exe,path
Byp_302_303,mclk_exe,par_exe,Byp*M302H_reg,par_exe,Byp*M303H_reg,mclk_exe,path
VecSchedVM300H,mclk_ooo_vec,par_ooo_vec,schedvleftm300h,par_ooo_vec,PSrcM301H_reg,mclk_ooo_vec,path
