#family,startpoint,drv_par,drv_signal,rcv_par,rcv_signal,endpoint,pba
301H_int,mclk_*,par_ooo_int,rsimmctlm301h,par_meu,rsldimmctlm301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rsimmctlm301h,par_meu,rsstaimmctlm301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rsimmctlm301h,par_meu,rsstdimmctlm301h,mclk_*,none
JE,mclk_*,par_meu,jeclearlatem805h,par_pmh,jeclearlatem805h,mclk_*,none
JE,mclk_*,par_meu,ie2meujerobidm305h,par_pmh,jerobidm305h,mclk_*,none
JE,mclk_*,par_meu,je2mswrearlym805h_a,par_msid,je2mswrearlym805h_a,mclk_*,none
JE,mclk_*,par_meu,jebcastaddrm805h,par_fe,jebcastaddrm805h,mclk_*,none
JE,mclk_*,par_meu,jeclearlatetomsidm805h,par_msid,jeclearlatem805h,mclk_*,none
JE,mclk_*,par_meu,jeclearlatetomsidm805h,par_fe,jeclearlatem805h,mclk_*,none
JE,mclk_*,par_meu,jeo2idataearlym804h,par_ooo_int,jeo2idataearlym804h,mclk_*,none
JE,mclk_*,par_ooo_int,jeo2idatam805h,par_msid,jeo2idatam805h,mclk_*,none
JE,mclk_*,par_ooo_int,jeo2idatam805h,par_fe,jeo2idatam805h,mclk_*,none
JE,mclk_*,par_meu,jeclearlatetoooom805h,par_ooo_int,jeclearm805h,mclk_*,none
JE,mclk_*,par_meu,jeclearlatetoooom805h,par_ooo_vec,jeclearm805h,mclk_*,none
JE,mclk_*,par_meu,jeoptypelatem805h,par_fe,jeoptypelatem805h,mclk_*,none
JE,mclk_*,par_meu,jemustbranchm305h,par_msid,jemustbranchm305h,mclk_*,none
JE,mclk_*,par_meu,jetakenbrclatem805h,par_ooo_int,jetakenbrclatem805h,mclk_*,none
JE,mclk_*,par_ooo_int,jetakenbrclatemsm806h,par_msid,jetakenbrclatemsm806h,mclk_*,none
JE,mclk_*,par_ooo_int,jetakenbrclatefem806h,par_fe,jetakenbrm806h,mclk_*,none
JE,mclk_*,par_meu,jenewmacrobrclatem805h,par_fe,jenewmacrobrclatem805h,mclk_*,none
JE,mclk_*,par_meu,jeforceallonesearlym805h,par_msid,jeforceallonesm305h,mclk_*,none
JE,mclk_*,par_meu,jeindirectcearlym805h,par_fe,jeindirectcm805h,mclk_*,none
JE,mclk_*,par_meu,jeneweipclearlatem805h,par_fe,jeneweipclearlatem805h,mclk_*,none
JE,mclk_*,par_meu,jeneweipclearlatem805h,par_msid,jeneweipclearlatem805h,mclk_*,none
JE,mclk_*,par_meu,jeloaduarreqcearlym805h,par_msid,jeloaduarreqcm805h,mclk_*,none
JE,mclk_*,par_meu,jenewuipclatem805h,par_ooo_int,jenewuipclatem805h,mclk_*,none
JE,mclk_*,par_ooo_int,jenewuipclatem806h,par_msid,jenewuipclatem806h,mclk_*,none
JE,mclk_*,par_ooo_int,jenewuipclatem806h,par_fe,jenewuipclatem806h,mclk_*,none
JE,mclk_*,par_meu,jeujmppredccearlym805h,par_msid,jeujmppredccm805h,mclk_*,none
JE,mclk_*,par_meu,jeujmppredccearlym805h,par_fe,jeujmppredccm805h,mclk_*,none
JE,mclk_*,par_meu,jevalidcntrearlym804h,par_ooo_int,jevalidcntrearlym804h,mclk_*,none
JE,mclk_*,par_ooo_int,jevalidcntrm805h,par_msid,jevalidcntrm805h,mclk_*,none
JE,mclk_*,par_meu,ieportedjeclearm805h,par_ooo_int,ieportedjeclear2combm805h,mclk_ooo_int,none
JE,mclk_*,par_meu,ieportedjeclearm805h,par_ooo_vec,ieportedjeclearm805h,mclk_ooo_vec,none
JE,mclk_*,par_meu,ieportedjecleartofem806h_op*,par_fe,ieportedjeclearm806h,mclk_*,none
JE,mclk_*,par_ooo_int,ieportedjeclear_tofitm806h*,par_msid,ieportedjeclearm806h,mclk_*,none
JE,mclk_*,par_msid,idforcejeclrm201h,par_ooo_int,idforcejeclrm201h,mclk_*,none
JE,mclk_*,par_meu,ieportedskidvalidm805h,par_ooo_vec,ieportedskidvalidm805h,mclk_*,none
Fault,mclk_*,par_meu,miintwbfaultinfom805h_p*,par_ooo_int,miintwbfaultinfom805h,mclk_*,none
